b=1 context=1024 draft=3: iterates 10..73 (64 decode steps)
 CUDA ms   ms/step   kernel %   elapsed %  launches  kernel
   80.897    1.2640      10.24        8.43      6144  void exl3_gemv_kernel<4, true, 2, 1, 0, false>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   64.595    1.0093       8.18        6.73      1472  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<3, 2, true>(MoeCoopParams)
   64.265    1.0041       8.14        6.70      1472  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<3, 2, false>(MoeCoopParams)
   58.141    0.9085       7.36        6.06      2304  void exl3_mgemm_kernel<4, true, 2, 16, 16, 512, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   57.387    0.8967       7.27        5.98      1600  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<2, 2, false>(MoeCoopParams)
   55.072    0.8605       6.97        5.74      1600  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<2, 2, true>(MoeCoopParams)
   48.455    0.7571       6.13        5.05      6237  void gr_v2_dots_kernel<4>(float const*, __half const*, float*, int, int, int)
   43.607    0.6814       5.52        4.55      6237  void gr_v2_up_kernel<4, true>(float const*, float const*, __half const*, __half const*, void*, int, int, int)
   41.315    0.6455       5.23        4.31      3072  void exl3_mgemm_kernel<4, false, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   32.114    0.5018       4.07        3.35      2304  void cuda_recurrent_gated_delta_rule_kernel_128<true, 4, false>(__nv_bfloat16 const*, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, int, int, int, int, int, int, float, int const*, int, float const*)
   21.997    0.3437       2.78        2.29      1013  _paged_attn_decode_split_kernel
   20.009    0.3126       2.53        2.09        64  void exl3_gemm_kernel<6, false, 2, 16, 16, 512, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   18.173    0.2840       2.30        1.89       192  void exl3_gemv_int8_sq_kernel<6, 1, false, false>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   17.369    0.2714       2.20        1.81       768  void exl3_mgemm_kernel<4, false, 2, 16, 32, 256, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   16.203    0.2532       2.05        1.69      3072  void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_64x2_nn_align8>(cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_64x2_nn_align8::Params)
   13.261    0.2072       1.68        1.38      1013  _paged_attn_decode_combine_kernel
   10.498    0.1640       1.33        1.09      3072  exl3_moe_coop_ns::exl3_moe_coop_rot_kernel(MoeCoopParams)
    9.895    0.1546       1.25        1.03      3264  routing_std_topk_kernel(__half const*, long*, __half*, __nv_bfloat16 const*, __half const*, int, int, int)
    9.215    0.1440       1.17        0.96      2304  gdn_ba_gemv_kernel(__half const*, __half const*, __half const*, float*, int, int)
    8.575    0.1340       1.09        0.89       811  void exl3_gemv_kernel<4, false, 2, 1, 0, false>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
    8.512    0.1330       1.08        0.89      6528  void hc_apply_kernel<4, float, false>(float*, float const*, float const*, float const*, int, int)
    8.415    0.1315       1.07        0.88      6837  gr_v2_state_kernel(float const*, float*, float*, int, int, float)
    6.809    0.1064       0.86        0.71      2304  void conv1d_update_kernel<true, true>(__nv_bfloat16 const*, __nv_bfloat16*, int const*, __nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16*, int, int, int, int)
    5.895    0.0921       0.75        0.61       245  void exl3_mgemm_kernel<6, false, 2, 16, 16, 512, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
    5.350    0.0836       0.68        0.56       192  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<4, 2, false>(MoeCoopParams)
    4.015    0.0627       0.51        0.42       394  void exl3_gemv_int8_sq_kernel<6, 1, true, false>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
    3.745    0.0585       0.47        0.39        70  batched_state_rewind_kernel(StateRewindJobBatch)
    3.719    0.0581       0.47        0.39      2304  void gated_rms_norm_kernel<32, __half, __nv_bfloat16, float>(__nv_bfloat16 const*, __nv_bfloat16 const*, __half*, float const*, float, int, int, float, int, bool, int)
    3.509    0.0548       0.44        0.37      3072  void cublasLt::splitKreduce_kernel<32, 16, int, __half, __half, float, __half, false, __half, __half, __half, true, false, false>(cublasLt::cublasSplitKParams<float>, __half const*, __half const*, __half*, __half*, float const*, float const*, __half const*, __half const*, __half*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)
    3.452    0.0539       0.44        0.36       274  void exl3_gemm_kernel<5, false, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
    3.100    0.0484       0.39        0.32       192  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<4, 2, false>(MoeCoopParams)
    3.002    0.0469       0.38        0.31      2304  void gated_delta_net_fused_op_3_kernel<__nv_bfloat16>(float const*, float const*, __nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16*, __nv_bfloat16*, float*, int, int, int, int, float)
    2.728    0.0426       0.35        0.28      1013  void rope_kernel<2, true>(__half const*, __half*, __half const*, __half*, float const*, int, int, int, int, int, int, int, int, int, unsigned int const*, unsigned int const*, float, void const*, void const*, float, float, bool, int, float, int, int, int, int)
    2.640    0.0412       0.33        0.28      3264  void act_mul_kernel_h<0>(__half const*, __half const*, __half*, float, unsigned long)
    2.618    0.0409       0.33        0.27       192  void exl3_mgemm_kernel<6, false, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
    2.509    0.0392       0.32        0.26       586  void gr_v2_dots_kernel<1>(float const*, __half const*, float*, int, int, int)
    2.494    0.0390       0.32        0.26       586  void gr_v2_up_kernel<1, true>(float const*, float const*, __half const*, __half const*, void*, int, int, int)
    2.309    0.0361       0.29        0.24      1013  _qsa_pool_update_kernel
