Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
49.2,26957786342,961320,28042.5,2084.0,581,47514558,412531.2,cudaLaunchKernel
26.9,14753155643,25055,588830.8,2795.0,431,82021491,5693829.1,cudaStreamSynchronize
10.6,5806425710,526097,11036.8,2074.0,1372,65383926,445176.8,cudaMemcpyAsync
3.8,2078445117,108607,19137.3,1994.0,490,38406693,287281.6,cuLaunchKernel
3.1,1695076147,103056,16448.1,2054.0,1503,551950,58188.0,cuLaunchKernelEx
2.9,1600625639,118385,13520.5,2034.0,1142,7217262,54937.2,cudaMemsetAsync
0.9,508619181,18419,27613.8,1794.0,421,9743763,440110.1,cudaEventSynchronize
0.6,303220785,1301,233067.5,2776.0,771,7873209,1229282.4,cudaDeviceSynchronize
0.4,231692766,1636,141621.5,77536.0,15489,25462128,999120.7,cuMemSetAccess
0.2,120870374,48,2518132.8,1635171.5,285869,7790883,2109806.2,cuLibraryLoadData
0.2,113099594,115,983474.7,968164.0,785330,1518912,95115.5,cudaGetDeviceProperties_v2_v12000
0.2,109551457,5,21910291.4,21304722.0,20163992,25357320,2007268.1,cudaMallocHost
0.2,102634098,3080,33322.8,1883.0,1062,737149,132751.7,cudaEventRecordWithFlags_v11010
0.1,81360386,32737,2485.3,2174.0,1002,191190,1953.2,cudaEventRecord
0.1,71180631,5058,14072.9,7985.0,4849,2119454,53899.8,cuMemCreate
0.1,49861872,7996,6235.9,5620.0,3396,45927,3120.0,cudaGraphLaunch_v10000
0.1,43573451,108257,402.5,160.0,70,2241414,17397.4,cuKernelGetFunction
0.1,41631661,5,8326332.2,7779121.0,7620381,9322961,896239.2,cudaFreeHost
0.1,29692329,50,593846.6,11552.5,1853,6845451,1771597.3,cudaHostAlloc
0.1,27788931,11154,2491.4,2284.0,652,244841,2500.2,cudaLaunchCooperativeKernel
0.0,17242722,135,127723.9,58240.0,18014,2745374,363948.4,cuModuleLoadData
0.0,12118628,324,37403.2,1853.5,862,716160,110454.8,cudaStreamCreateWithFlags
0.0,7904797,2043,3869.2,871.0,130,644946,33277.3,cudaEventCreateWithFlags
0.0,7484512,194,38580.0,2840.0,1844,6862694,492483.4,cudaGraphDestroy_v10000
0.0,7317646,9396,778.8,471.0,360,24706,840.1,cudaStreamWaitEvent
0.0,6278296,194,32362.4,21580.5,10860,282473,39447.3,cudaGraphInstantiate_v12000
0.0,5795845,281,20625.8,19046.0,3897,53551,11388.3,cudaMemGetInfo
0.0,4960785,105,47245.6,45736.0,15319,90841,8986.8,cuMemUnmap
0.0,4757930,5050,942.2,531.0,260,16231,1001.3,cuMemMap
0.0,4038838,77,52452.4,1603.0,791,1191165,219560.8,cudaFree
0.0,2979914,194,15360.4,7970.0,5931,713014,62465.4,cudaGraphExecDestroy_v10000
0.0,2284174,109,20955.7,19357.0,10370,52239,6412.6,cuMemRelease
0.0,1905873,160,11911.7,11376.0,7774,31870,3113.2,cuMemcpyAsync
0.0,1736583,1840,943.8,501.0,230,140866,4311.8,cudaEventQuery
0.0,1506754,31,48605.0,28714.0,1293,157066,47928.1,cudaMalloc
0.0,1274081,4332,294.1,160.0,130,4509,280.5,cudaStreamIsCapturing_v10000
0.0,1198515,1851,647.5,511.0,150,6252,530.0,cudaEventDestroy
0.0,890190,927,960.3,841.0,431,6121,532.8,cudaGraphExecKernelNodeSetParams_v10010
0.0,857679,67,12801.2,12102.0,4588,31469,7111.7,cuModuleUnload
0.0,847224,105,8068.8,7154.0,5570,21611,2818.4,cuMemAddressReserve
0.0,511140,960,532.4,411.0,210,4268,375.2,cuGraphExecKernelNodeSetParams_v2
0.0,482773,292,1653.3,1097.0,682,25178,1875.9,cudaStreamDestroy
0.0,397863,1195,332.9,291.0,140,4649,197.7,cudaGraphKernelNodeGetParams_v10000
0.0,276716,1195,231.6,121.0,110,103034,2977.0,cudaGraphNodeGetType_v10000
0.0,241477,388,622.4,200.0,120,155944,7906.6,cudaGraphGetNodes_v10000
0.0,229940,1676,137.2,110.0,40,521,75.4,cuGetProcAddress_v2
0.0,150110,82,1830.6,1117.5,310,7675,1490.5,cuLibraryGetKernel
0.0,128751,194,663.7,451.0,320,3105,511.1,cudaStreamBeginCapture_v10000
0.0,94504,194,487.1,421.0,291,2184,233.0,cudaStreamEndCapture_v10000
0.0,41258,5,8251.6,8676.0,6282,9999,1691.2,cudaMemset
0.0,14387,36,399.6,350.5,250,1353,213.9,cudaGetDriverEntryPointByVersion_v12050
0.0,12475,16,779.7,286.0,190,2535,933.5,cudaEventCreate
0.0,7745,8,968.1,902.0,250,1914,593.8,cuInit
0.0,7540,175,43.1,40.0,30,120,11.4,cuGraphKernelNodeGetParams_v2
0.0,5240,8,655.0,411.0,140,1453,517.1,cudaGetDriverEntryPoint_v11030
0.0,3095,6,515.8,250.5,80,1202,520.3,cuModuleGetLoadingMode
