Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
12.0,8039612420,3916,2053016.5,3299246.5,30784,3458903,1553176.0,_qsa_sparse_split_kernel
6.2,4176920280,15120,276251.3,221919.0,130464,378655,71235.7,"void f16acc::gemm_kernel<(bool)1, (int)128, (bool)1>(const __half *, const __half *, void *, int, int, int, int, long long, long long, long long)"
6.0,4025673787,6050,665400.6,662816.5,79072,982368,136254.0,"void exl3_moe_kernel<(int)2, (int)128, (int)2, (int)16>(const __half *, __half *, __half *, __half *, __half *, float *, const unsigned short **, const __half **, const __half **, const unsigned short **, const __half **, const __half **, const unsigned short **, const __half **, const __half **, const long *, const long *, const __half *, int, int, int, int, int, int, float, int, int, int, int, int *, float *, const long *, int, int)"
5.6,3732587948,5250,710969.1,739007.0,410528,809568,75457.3,"void <unnamed>::e3_gateup_kernel<(int)2, (int)2>(const __half *, const __half *, const unsigned short *const *, const unsigned short *const *, const __half *const *, const __half *const *, const __half *const *, __half *, const int *, const int *, const int *, const int *, int, int, float)"
5.1,3432638647,4726,726330.6,752000.0,449503,823456,65298.4,"void <unnamed>::e3_gateup_kernel<(int)3, (int)3>(const __half *, const __half *, const unsigned short *const *, const unsigned short *const *, const __half *const *, const __half *const *, const __half *const *, __half *, const int *, const int *, const int *, const int *, int, int, float)"
4.6,3080612999,23354,131909.4,157216.0,3264,164831,54116.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
4.2,2817701643,20184,139600.8,204720.0,21664,272383,109528.1,"void f16acc::gemm_kernel<(bool)1, (int)64, (bool)1>(const __half *, const __half *, void *, int, int, int, int, long long, long long, long long)"
4.1,2740893452,5446,503285.6,513839.0,125409,967293,276751.3,"void exl3_moe_kernel<(int)3, (int)128, (int)2, (int)16>(const __half *, __half *, __half *, __half *, __half *, float *, const unsigned short **, const __half **, const __half **, const unsigned short **, const __half **, const __half **, const unsigned short **, const __half **, const __half **, const long *, const long *, const __half *, int, int, int, int, int, int, float, int, int, int, int, int *, float *, const long *, int, int)"
4.1,2729236214,56699,48135.5,49984.0,992,93024,32743.0,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
3.1,2086951082,46587,44796.9,2752.0,1152,114304,51249.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
2.8,1903510526,19952,95404.5,98880.0,47584,103584,12772.5,"void hc_apply_kernel<(int)4, float, (bool)0, (int)256>(float *, const T2 *, const float *, const float *, int, int)"
2.7,1790418977,36000,49733.9,6400.0,1344,219167,78652.8,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.6,1776033273,5250,338292.1,346384.0,195360,380832,37067.8,"void <unnamed>::e3_down_det_kernel<(int)2>(const __half *, const unsigned short *const *, __half *, const int *, const int *, const int *, const int *, const int *, int, int)"
2.5,1657791658,6050,274015.2,296959.0,52416,463038,80375.6,"void exl3_moe_kernel<(int)2, (int)128, (int)2, (int)32>(const __half *, __half *, __half *, __half *, __half *, float *, const unsigned short **, const __half **, const __half **, const unsigned short **, const __half **, const __half **, const unsigned short **, const __half **, const __half **, const long *, const long *, const __half *, int, int, int, int, int, int, float, int, int, int, int, int *, float *, const long *, int, int)"
2.5,1648913479,20161,81787.3,83872.0,50528,88928,8578.9,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_f16_128x128_32x4_tn_align2>(T1::Params)
2.4,1634571130,4726,345867.8,353696.0,208127,387073,32176.4,"void <unnamed>::e3_down_det_kernel<(int)3>(const __half *, const unsigned short *const *, __half *, const int *, const int *, const int *, const int *, const int *, int, int)"
2.2,1486592189,20267,73350.4,73952.0,54208,88896,5360.4,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(T1::Params)
2.1,1420765987,23355,60833.5,73088.0,4416,83488,24516.2,"void rms_norm_kernel<(int)0, float, __half, __half, float>(const T2 *, const T4 *, T3 *, T5 *, float, int, int, float, float, int)"
1.9,1288869058,9976,129197.0,132128.0,60512,147872,17194.0,"<unnamed>::e3_gather_kernel(const __half *, const long *, const int *, const __half *const *, const __half *const *, __half *, __half *, const int *, int)"
1.7,1147255831,2768,414471.0,428896.0,43232,472991,54488.8,"void f16acc::gemm_kernel<(bool)0, (int)128, (bool)1>(const __half *, const __half *, void *, int, int, int, int, long long, long long, long long)"
1.7,1146249931,34992,32757.5,32480.0,30880,46816,988.1,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x128_64x3_nn_align8>(T1::Params)
1.6,1083798995,65432,16563.7,6624.0,5312,50880,13188.3,"void reconstruct_had_kernel<(int)4, (int)2>(__half *, const unsigned short *, const __half *, const __half *, int, int)"
