conc	kind	old_wallagg	new_wallagg	old_decode_stream	new_decode_stream	old_decode_agg	new_decode_agg	old_ttft	new_ttft
1	code	208.21	229.62	214.67	236.68	214.01	236.52	0.14	0.13
2	code	339.34	380.98	176.45	199.18	353.02	398.19	0.24	0.23
3	code	412.05	467.05	143.92	164.43	433.97	494.65	0.34	0.34
4	code	525.61	555.51	139.40	147.89	558.79	592.25	0.45	0.44
5	code	589.61	632.17	127.84	139.14	641.09	688.24	0.55	0.54
6	code	541.19	617.37	95.39	109.70	573.18	658.62	0.61	0.60
7	code	644.02	689.92	99.47	105.78	695.51	749.46	0.67	0.72
8	code	679.99	714.25	91.23	95.85	725.94	764.26	0.73	0.72
1	prose	200.12	220.29	205.75	226.95	205.20	226.29	0.13	0.13
2	prose	355.23	400.88	184.54	209.35	369.62	418.67	0.23	0.22
3	prose	402.35	458.59	140.47	160.54	420.37	481.57	0.32	0.31
4	prose	502.60	533.61	132.91	141.05	534.47	568.91	0.42	0.42
5	prose	565.83	603.80	122.18	130.33	606.34	648.27	0.52	0.51
6	prose	533.26	609.14	93.56	107.22	560.51	644.50	0.57	0.57
7	prose	639.79	675.34	97.16	103.09	680.43	720.48	0.61	0.62
8	prose	676.05	713.65	90.13	95.34	719.49	761.24	0.68	0.67
