conc	kind	wallagg	decode_stream	decode_agg	ttft
1	code	280.91	291.06	291.57	0.14
2	code	386.48	203.14	405.21	0.24
3	code	493.72	180.18	538.22	0.35
4	code	565.99	153.22	615.07	0.46
5	code	617.63	134.07	671.20	0.57
6	code	655.97	118.37	707.51	0.64
7	code	710.47	110.83	771.08	0.76
8	code	752.03	103.38	822.48	0.76
1	prose	263.44	273.48	272.40	0.13
2	prose	372.65	200.98	401.96	0.23
3	prose	499.87	177.41	530.07	0.34
4	prose	574.56	156.81	626.69	0.45
5	prose	625.46	135.74	679.25	0.55
6	prose	662.08	119.90	716.47	0.63
7	prose	722.45	112.55	783.12	0.66
8	prose	759.12	103.61	831.27	0.71
