conc	kind	wallagg	decode_stream	decode_agg	ttft
1	code	286.84	298.44	297.80	0.14
2	code	395.76	207.60	414.71	0.24
3	code	494.87	182.19	540.66	0.35
4	code	582.72	157.75	632.34	0.46
5	code	635.34	137.72	691.24	0.56
6	code	671.48	121.22	726.85	0.62
7	code	724.47	112.65	784.26	0.69
8	code	772.00	105.82	844.64	0.75
1	prose	269.43	278.56	278.64	0.13
2	prose	384.00	204.70	411.52	0.23
3	prose	509.17	180.97	541.79	0.33
4	prose	591.26	159.88	643.16	0.43
5	prose	640.86	138.76	694.27	0.54
6	prose	679.50	122.56	735.32	0.62
7	prose	732.06	113.35	792.33	0.66
8	prose	776.91	106.88	853.46	0.70
